基金代码,拼音缩写,基金简称,基金类型,拼音全称
021016,CJXRHHC,长江旭日混合C,混合型-偏股,CHANGJIANGXURIHUNHEC
021027,TPYLCXHHFQSA,太平医疗创新混合发起式A,混合型-偏股,TAIPINGYILIAOCHUANGXINHUNHEFAQISHIA
021028,TPYLCXHHFQSC,太平医疗创新混合发起式C,混合型-偏股,TAIPINGYILIAOCHUANGXINHUNHEFAQISHIC
021046,PAGGTHLJXHHFQSA,平安港股通红利精选混合发起式A,混合型-偏股,PINGANGANGGUTONGHONGLIJINGXUANHUNHEFAQISHIA
021047,PAGGTHLJXHHFQSC,平安港股通红利精选混合发起式C,混合型-偏股,PINGANGANGGUTONGHONGLIJINGXUANHUNHEFAQISHIC
021049,YFDGGXLHXGGPFQSA,易方达高股息量化选股股票发起式A,股票型,YIFANGDAGAOGUXILIANGHUAXUANGUGUPIAOFAQISHIA
021050,YFDGGXLHXGGPFQSC,易方达高股息量化选股股票发起式C,股票型,YIFANGDAGAOGUXILIANGHUAXUANGUGUPIAOFAQISHIC
021062,HLSZYXHHC,宏利市值优选混合C,混合型-偏股,HONGLISHIZHIYOUXUANHUNHEC
021094,DFDTJJHHA,东方低碳经济混合A,混合型-偏股,DONGFANGDITANJINGJIHUNHEA
021095,DFDTJJHHC,东方低碳经济混合C,混合型-偏股,DONGFANGDITANJINGJIHUNHEC
021145,YHZXJZCZHHA,银华甄选价值成长混合A,混合型-偏股,YINHUAZHENXUANJIAZHICHENGZHANGHUNHEA
021146,YHZXJZCZHHC,银华甄选价值成长混合C,混合型-偏股,YINHUAZHENXUANJIAZHICHENGZHANGHUNHEC
021147,CTHZLHXGHHA,财通华臻量化选股混合A,混合型-偏股,CAITONGHUAZHENLIANGHUAXUANGUHUNHEA
021148,CTHZLHXGHHC,财通华臻量化选股混合C,混合型-偏股,CAITONGHUAZHENLIANGHUAXUANGUHUNHEC
021167,ZTHLLHXGGPFQA,中泰红利量化选股股票发起A,股票型,ZHONGTAIHONGLILIANGHUAXUANGUGUPIAOFAQIA
021168,ZTHLLHXGGPFQC,中泰红利量化选股股票发起C,股票型,ZHONGTAIHONGLILIANGHUAXUANGUGUPIAOFAQIC
021179,YFDCYJYHHA,易方达产业机遇混合A,混合型-偏股,YIFANGDACHANYEJIYUHUNHEA
021180,YFDCYJYHHC,易方达产业机遇混合C,混合型-偏股,YIFANGDACHANYEJIYUHUNHEC
021181,ZOJZJXHHA,中欧价值精选混合A,混合型-偏股,ZHONGOUJIAZHIJINGXUANHUNHEA
